archivo,linea,snippet,tipo,tabla_objetivo,columnas_pii_en_insert,estado,fix_aplicado,observacion
backend/relays-client/src/persistence.rs,152,INSERT INTO paper_trade_runs,insert,paper_trade_runs,none,pass,n/a,no PII columns (Rust)
backend/searcher-rs/src/persistence.rs,31,INSERT INTO opportunities,insert,opportunities,none,pass,n/a,no PII columns (Rust)
backend/searcher-rs/src/persistence/dao.rs,18,INSERT INTO sed_opportunities,insert,sed_opportunities,none,pass,n/a,no PII columns (Rust)
backend/searcher-rs/src/pool_discovery.rs,276,INSERT INTO observed_unindexed_pairs,insert,observed_unindexed_pairs,none,pass,n/a,no PII columns (Rust)
backend/searcher-rs/src/sed_engine/mod.rs,151,INSERT INTO sed_opportunities,insert,sed_opportunities,none,pass,n/a,no PII columns (Rust)
backend/selector-api/src/persistence.ts,43,INSERT INTO risk_events,insert,risk_events,none,pass,n/a,no PII columns
backend/selector-api/src/token_safety/cache.ts,65,INSERT INTO token_safety_cache,insert,token_safety_cache,none,pass,n/a,no PII columns
backend/sim-ctl/src/persistence.rs,25,INSERT INTO simulations,insert,simulations,none,pass,n/a,no PII columns (Rust)
backend/token-enricher/src/persistence.rs,54,INSERT INTO tokens,insert,tokens,none,pass,n/a,no PII columns (Rust)
backend/searcher-rs/src/workers/cex_dex_worker.rs,184,".user_agent('arbitragex-v2-cex-dex-worker/0.1')",http_client_ua,n/a,n/a,debug_ephemeral,n/a,outbound HTTP client identity (not server PII)
backend/searcher-rs/src/workers/cex_dex_worker.rs,519,".user_agent('test')",http_client_ua,n/a,n/a,debug_ephemeral,n/a,test fixture (not server PII)
backend/searcher-rs/src/workers/price_worker.rs,255,".user_agent('arbitragex-v2-price-worker/0.1')",http_client_ua,n/a,n/a,debug_ephemeral,n/a,outbound HTTP client identity (not server PII)
