ruta,archivo,componente,elemento_ui,tipo_elemento,hook_store,endpoint_ws,tipo_dato,entrada_salida,funcion,backend_handler,persistencia,reload_event,runtime_consumer,audit_event,ui_final_state,tests,estado
/wallets,frontend/app/wallets/page.tsx,WalletsClient,wallet_table,table,useWallets,GET /api/v1/wallets,WalletEntity[],salida,lista wallets + Ghost balance=0,wallets.ts,PG: wallet_registry,—,—,—,PASS con balance_wei='0' INV-7,wallets.test,PASS
/rpcs,frontend/app/rpcs/page.tsx,RpcsClient,rpc_health_table,table,useRpcs,GET /api/v1/rpcs,RpcEntity[],salida,lista RPCs con latencia p50/p95,—,PG: rpc_registry,—,rpc_health_worker,—,PASS / UNAVAILABLE si rpc down,rpcs.test,PASS
/strategies,frontend/app/strategies/page.tsx,StrategiesClient,strategy_enable_toggle,toggle/switch,useStrategies.toggle,PUT /api/v1/strategies/:id/toggle,StrategyToggleRequest,entrada,habilita/deshabilita estrategia,strategy-runtime-status.ts,PG: strategy_registry + audit,arbx:config:strategy:<id>:reload,spine decision loop,strategy_toggled,WAITING_RUNTIME_ACK → VERIFIED,strategies.test,PASS
/strategies,frontend/app/strategies/tabs/DexesTab.tsx,DexesTab,per_chain_dex_save_button,button,useTradingConfig.save,PUT /api/v1/trading-config,TradingConfigRequest,entrada,guarda config DEX por chain,trading-config.ts,PG: trading_config,—,searcher-rs,—,PARTIAL_phase3,trading-config.test,"PARTIAL — TODO Phase 3: per-chain trading_config rows (DexesTab:11,115)"
/risk,frontend/app/risk/page.tsx,RiskClient,risk_gate_form,form,useRiskGates.set,PUT /api/v1/risk/gates/:id,RiskGateRequest,entrada,ajusta umbral de risk gate,risk-circuit-breakers.ts,PG: risk_gates + audit,arbx:config:risk:<id>:reload,searcher-rs + spine,risk_gate_updated,WAITING_RUNTIME_ACK → VERIFIED,risk.test,PASS
/risk,frontend/app/risk/page.tsx,RiskClient,circuit_breaker_state,card,useCircuitBreakers,GET /api/v1/risk/circuit-breakers,CircuitBreaker[],salida,muestra estado CLOSED/HALF_OPEN/OPEN,risk-circuit-breakers.ts,PG: circuit_breakers,—,spine breaker engine,—,PASS / WARNING si OPEN,circuit-breakers.test,PASS
/killswitch,frontend/app/killswitch/page.tsx,KillswitchClient,engage_killswitch_button,button,useKillswitch.engage,POST /api/killswitch/engage,KillswitchRequest (sovereign sig),entrada,activa parada de emergencia global,killswitch.ts (configs/killswitch.json),FS + PG audit,arbx:killswitch:reload,searcher-rs + spine,killswitch_engaged,WAITING_RUNTIME_ACK → VERIFIED,killswitch.test,PASS
/config/trading,frontend/app/config/trading/page.tsx,TradingConfig,paper_mode_toggle,toggle/switch,useTradingConfig.setPaperMode,PUT /api/v1/trading-config/paper-mode,PaperModeRequest,entrada,paper/live por chain (live requiere sovereign sig),trading-config.ts,PG: trading_config + audit,arbx:config:trading:reload,searcher-rs,paper_mode_changed,WAITING_RUNTIME_ACK → VERIFIED,trading-config.test,PASS
/config/trading,frontend/app/config/trading/page.tsx,TradingConfig,capital_cap_input,input number,useCapitalGate.setCap,PUT /api/v1/capital-gates/:chain_id,CapitalGateRequest (sovereign sig if >0),entrada,ajusta cap_usd por chain (default $0.00),—,PG: capital_gates + audit,arbx:config:capital:<chain_id>:reload,spine bayesian_allocator,capital_cap_updated,WAITING_RUNTIME_ACK → VERIFIED si sig válida; BLOCKED sin sig,capital-gate.test,PASS
/settings,frontend/app/settings/page.tsx,SettingsClient,preferences_form,form,useUserPrefs,PUT /api/settings/preferences,UserPrefs,entrada,preferencias visuales (no operacional),—,PG: user_prefs (no operacional),—,—,—,VERIFIED (no requiere runtime ack),settings.test,PASS
/settings/credentials,frontend/app/settings/credentials/page.tsx,CredentialsClient,credentials_list,table,useCredentials,GET /api/credentials,CredentialMeta[],salida,lista credenciales (read-only; rotación CLI),credentials.ts,PG: credentials_meta (no secret),—,—,—,PASS read-only,credentials.test,PASS
/worker-health,frontend/app/worker-health/page.tsx,WorkerHealth,worker_table,table,useWorkerHealth,GET /api/agents/status,AgentTeam[],salida,salud de searcher-rs + spine + recon,agents-status.ts,Redis: agent_heartbeats,—,agents publish heartbeat,—,PASS / STALE si heartbeat > 15s,agents-status.test,PASS
/status,frontend/app/status/page.tsx,StatusClient,system_heartbeat,card,useSystemStatus,GET /api/system/status,SystemStatus,salida,heartbeat global del sistema,—,Redis: system_status,—,—,—,PASS / STALE,status.test,PASS
/recon,frontend/app/recon/page.tsx,ReconClient,pnl_aggregate,card,useRecon,GET /api/recon/pnl,ReconAggregate,salida,agrega P&L de ventana de 60s,—,PG: recon_aggregates,arbx:scoring:updates:<chain>,spine feedback.rs → bayesian_allocator,—,PASS,recon.test,PASS
/omega-s5/core,frontend/app/omega-s5/core/page.tsx,OmegaS5Core,manifest_hash,badge,useSystemManifest,GET /api/system/manifest,SystemManifest,salida,muestra hash manifest + features,system-manifest.ts,PG: feature_manifest,—,—,—,PASS,manifest.test,PASS
/omega-s5/adapters,frontend/app/omega-s5/adapters/page.tsx,Adapters,adapter_table,table,useAdapters,GET /api/system/manifest,AdapterEntry[],salida,lista adapters DEX/flashloan/cross-chain,system-manifest.ts,PG: feature_manifest,—,—,—,PASS,adapters.test,PASS
/omega-s5/crucible,frontend/app/omega-s5/crucible/page.tsx,Crucible,crucible_metrics,card,useCrucible,GET /api/crucible/status,CrucibleStatus,salida,muestra ≥72h × ≥95% × 0 reverts no-doctrinales,—,PG: crucible_runs,—,—,—,PASS / BLOCKED si gate no satisfecho,crucible.test,PASS
/omega-s5/drift,frontend/app/omega-s5/drift/page.tsx,DriftDetection,drift_table,table,useDriftDetection,GET /api/drift/events,DriftEvent[],salida,lista config_hash mismatch DB↔runtime,—,PG: drift_events,—,drift_watcher,—,PASS (drift=0) / WARNING,drift.test,PASS
/omega-s5/factory,frontend/app/omega-s5/factory/page.tsx,Factory,deterministic_factory_panel,card,useFactory,GET /api/factory/topology,WalletTopology,salida,muestra DeterministicFactory + topology,—,PG: wallet_topology,—,—,—,PASS,factory.test,PASS
/omega-s5/operator,frontend/app/omega-s5/operator/page.tsx,OperatorPanel,operator_role_select,select/list,useOperator.promote,POST /api/operator/role/promote,OperatorPromoteRequest (sovereign sig),entrada,promueve rol observer → steward → sovereign,operator.ts,PG: operator_parametrization + audit,arbx:config:operator:reload,api-server,operator_role_changed,WAITING_RUNTIME_ACK → VERIFIED,operator.test,PASS
/omega-s5/wallets,frontend/app/omega-s5/wallets/page.tsx,OmegaWallets,topology_view,card,useWalletTopology,GET /api/wallets/topology,WalletTopology,salida,topology de wallets con Ghost balance=0,wallets.ts,PG: wallet_topology,—,—,—,PASS INV-7 verificado,wallets-topology.test,PASS
/omega-s5/registry,frontend/app/omega-s5/registry/page.tsx,RegistryHub,registry_cards_grid,card,useRegistries,GET /api/admin/registries,RegistrySummary[],salida,hub de 12 registries × 7 capacidades,admin-registries.ts,PG: registry_*,—,—,—,PASS hub,registries.hub.test,PASS
/omega-s5/registry/[entity],frontend/app/omega-s5/registry/[entity]/page.tsx,RegistryDetail,crud_form,form,useRegistry(entity),POST/PUT/DELETE /api/admin/registries/:entity,RegistryEntity,entrada+salida,CRUD genérico por entidad (12 entidades),admin-registries.ts,PG: registry_<entity> + audit,arbx:config:<entity>:<id>:reload,searcher-rs / spine,registry_entity_<verb>,WAITING_RUNTIME_ACK → VERIFIED,registry.crud.test,PARTIAL — useRegistry.ts:105 tiene `configHash: null` con TODO; debe leer hash real
/onboarding/2-connect,frontend/app/onboarding/2-connect/page.tsx,OnboardingConnect,rpc_add_form,form,useRpcs.add,POST /api/v1/rpcs,RpcCreateRequest,entrada,agrega RPC + health check,—,PG: rpc_registry + audit,arbx:config:rpc:<id>:reload,rpc_health_worker,rpc_added,WAITING_RUNTIME_ACK → VERIFIED,onboarding.rpc.test,PASS
/onboarding/3-advanced,frontend/app/onboarding/3-advanced/page.tsx,OnboardingAdvanced,risk_gate_form,form,useRiskGates.set,PUT /api/v1/risk/gates/:id,RiskGateRequest,entrada,configura risk gates iniciales,risk-circuit-breakers.ts,PG: risk_gates + audit,arbx:config:risk:<id>:reload,spine,risk_gate_set,WAITING_RUNTIME_ACK → VERIFIED,onboarding.risk.test,PASS
/onboarding/4-testing,frontend/app/onboarding/4-testing/page.tsx,OnboardingTesting,crucible_run_monitor,card,useCrucible,GET /api/crucible/status,CrucibleStatus,salida,monitorea ejecución Crucible en testnets,—,PG: crucible_runs,—,searcher-rs (testnet),—,PASS al cumplir gate,crucible.test,PASS
/sed,frontend/app/sed/page.tsx,SedClient,sed_core_panel,card,useSedCore,GET /api/sed/status,SedStatus,salida,muestra signed execution doctrine state,sed-status.ts,Redis: sed_state,—,sed-core (Rust),—,PASS,sed.test,PASS
