Detector_ID,Logica,Cartuchos,Contrato_requerido,Codigo_de_quote_incluido,Feeds_y_solver_completos_implementados,Compilado,E2E_live
I_ORDERFLOW,constrained_settlement,4,order_limits_respected; balance_conservation; approvals_valid; orders_not_expired; settlement_executable; orderflow_explicitly_authorized; strategy_specific_note_verified; native_risk_and_impact_policy,Prepared domain cashflow/constraint interface,NO — requires concrete provider/solver receipts,NOT_RUN,NOT_RUN
I_ROUTE,constrained_settlement,9,order_limits_respected; balance_conservation; approvals_valid; orders_not_expired; settlement_executable; strategy_specific_note_verified; native_risk_and_impact_policy,Prepared domain cashflow/constraint interface,NO — requires concrete provider/solver receipts,NOT_RUN,NOT_RUN
L_AUCTION,auction,4,auction_rules_valid; lot_available; deadline_valid; firm_unwind; settlement_executable; strategy_specific_note_verified; native_risk_and_impact_policy,Prepared domain cashflow/constraint interface,NO — requires concrete provider/solver receipts,NOT_RUN,NOT_RUN
L_COLLATERAL,redemption,5,conversion_contract_valid; redemption_within_limits; component_quotes_firm; delay_costed; settlement_executable; strategy_specific_note_verified; native_risk_and_impact_policy,Prepared domain cashflow/constraint interface,NO — requires concrete provider/solver receipts,NOT_RUN,NOT_RUN
L_LIQ,liquidation,7,protocol_liquidatable; close_factor_respected; collateral_available; oracle_fresh; firm_unwind; settlement_executable; health_metric_protocol_specific; strategy_specific_note_verified; native_risk_and_impact_policy,Prepared domain cashflow/constraint interface,NO — requires concrete provider/solver receipts,NOT_RUN,NOT_RUN
L_LOOP,carry_projection,1,hedged_position; matched_horizon; margin_sufficient; funding_schedule; finite_horizon; settlement_executable; health_buffer; rate_feedback_model; strategy_specific_note_verified; native_risk_and_impact_policy,Prepared domain cashflow/constraint interface,NO — requires concrete provider/solver receipts,NOT_RUN,NOT_RUN
L_RATE,carry_projection,8,hedged_position; matched_horizon; margin_sufficient; funding_schedule; finite_horizon; settlement_executable; borrow_supply_indices; strategy_specific_note_verified; native_risk_and_impact_policy,Prepared domain cashflow/constraint interface,NO — requires concrete provider/solver receipts,NOT_RUN,NOT_RUN
M_AMM,firm_pair,1,same_economic_asset; matched_quantity; firm_depth; inventory_available; settlement_executable; identical_payout_claim; strategy_specific_note_verified; native_risk_and_impact_policy,Prepared domain cashflow/constraint interface,NO — requires concrete provider/solver receipts,NOT_RUN,NOT_RUN
M_COMPLETE,payoff_portfolio,3,same_underlying; payoff_model_complete; firm_all_legs; quantity_conservation; settlement_executable; exhaustive_mutually_exclusive_partition; actual_collateral_payout; split_merge_available; strategy_specific_note_verified; native_risk_and_impact_policy,Prepared domain cashflow/constraint interface,NO — requires concrete provider/solver receipts,NOT_RUN,NOT_RUN
M_CROSS,firm_pair,1,same_economic_asset; matched_quantity; firm_depth; inventory_available; settlement_executable; same_event_and_resolution_rules; strategy_specific_note_verified; native_risk_and_impact_policy,Prepared domain cashflow/constraint interface,NO — requires concrete provider/solver receipts,NOT_RUN,NOT_RUN
M_LOGIC,payoff_portfolio,4,same_underlying; payoff_model_complete; firm_all_legs; quantity_conservation; settlement_executable; payoff_states_exhaustive; worst_case_nonnegative; strategy_specific_note_verified; native_risk_and_impact_policy,Prepared domain cashflow/constraint interface,NO — requires concrete provider/solver receipts,NOT_RUN,NOT_RUN
N_AMM,nft_firm_exit,2,asset_identity_match; firm_exit_bid; ownership_and_approval; royalties_accounted; settlement_executable; nft_curve_version_verified; strategy_specific_note_verified; native_risk_and_impact_policy,Prepared domain cashflow/constraint interface,NO — requires concrete provider/solver receipts,NOT_RUN,NOT_RUN
N_FLOOR,nft_firm_exit,5,asset_identity_match; firm_exit_bid; ownership_and_approval; royalties_accounted; settlement_executable; exit_is_not_floor_proxy; strategy_specific_note_verified; native_risk_and_impact_policy,Prepared domain cashflow/constraint interface,NO — requires concrete provider/solver receipts,NOT_RUN,NOT_RUN
N_IDENTICAL,nft_firm_exit,6,asset_identity_match; firm_exit_bid; ownership_and_approval; royalties_accounted; settlement_executable; strategy_specific_note_verified; native_risk_and_impact_policy,Prepared domain cashflow/constraint interface,NO — requires concrete provider/solver receipts,NOT_RUN,NOT_RUN
N_LIQ,liquidation,1,protocol_liquidatable; close_factor_respected; collateral_available; oracle_fresh; firm_unwind; settlement_executable; nft_firm_bid_not_appraisal; strategy_specific_note_verified; native_risk_and_impact_policy,Prepared domain cashflow/constraint interface,NO — requires concrete provider/solver receipts,NOT_RUN,NOT_RUN
N_REDEEM,redemption,4,conversion_contract_valid; redemption_within_limits; component_quotes_firm; delay_costed; settlement_executable; strategy_specific_note_verified; native_risk_and_impact_policy,Prepared domain cashflow/constraint interface,NO — requires concrete provider/solver receipts,NOT_RUN,NOT_RUN
OBSERVE,observe_only,8,,Prepared domain cashflow/constraint interface,NO — requires concrete provider/solver receipts,NOT_RUN,NOT_RUN
P_4626,redemption,3,conversion_contract_valid; redemption_within_limits; component_quotes_firm; delay_costed; settlement_executable; preview_and_max_limits; strategy_specific_note_verified; native_risk_and_impact_policy,Prepared domain cashflow/constraint interface,NO — requires concrete provider/solver receipts,NOT_RUN,NOT_RUN
P_LST,redemption,4,conversion_contract_valid; redemption_within_limits; component_quotes_firm; delay_costed; settlement_executable; withdrawal_queue_measured; strategy_specific_note_verified; native_risk_and_impact_policy,Prepared domain cashflow/constraint interface,NO — requires concrete provider/solver receipts,NOT_RUN,NOT_RUN
P_NAV,redemption,5,conversion_contract_valid; redemption_within_limits; component_quotes_firm; delay_costed; settlement_executable; strategy_specific_note_verified; native_risk_and_impact_policy,Prepared domain cashflow/constraint interface,NO — requires concrete provider/solver receipts,NOT_RUN,NOT_RUN
P_PEG,redemption,7,conversion_contract_valid; redemption_within_limits; component_quotes_firm; delay_costed; settlement_executable; strategy_specific_note_verified; native_risk_and_impact_policy,Prepared domain cashflow/constraint interface,NO — requires concrete provider/solver receipts,NOT_RUN,NOT_RUN
P_PTYT,redemption,3,conversion_contract_valid; redemption_within_limits; component_quotes_firm; delay_costed; settlement_executable; same_underlying_maturity; split_merge_available; strategy_specific_note_verified; native_risk_and_impact_policy,Prepared domain cashflow/constraint interface,NO — requires concrete provider/solver receipts,NOT_RUN,NOT_RUN
P_WRAP,redemption,5,conversion_contract_valid; redemption_within_limits; component_quotes_firm; delay_costed; settlement_executable; representation_allowlisted; strategy_specific_note_verified; native_risk_and_impact_policy,Prepared domain cashflow/constraint interface,NO — requires concrete provider/solver receipts,NOT_RUN,NOT_RUN
P_YIELD,carry_projection,3,hedged_position; matched_horizon; margin_sufficient; funding_schedule; finite_horizon; settlement_executable; strategy_specific_note_verified; native_risk_and_impact_policy,Prepared domain cashflow/constraint interface,NO — requires concrete provider/solver receipts,NOT_RUN,NOT_RUN
R_BASKET_NAV,redemption,2,conversion_contract_valid; redemption_within_limits; component_quotes_firm; delay_costed; settlement_executable; strategy_specific_note_verified; native_risk_and_impact_policy,Prepared domain cashflow/constraint interface,NO — requires concrete provider/solver receipts,NOT_RUN,NOT_RUN
R_CLOSED_CYCLE,closed_route,25,closed_token_cycle; protocol_exact_quotes; same_snapshot; token_continuity; strategy_specific_note_verified; native_risk_and_impact_policy,CPMM integer + exact native cache,NO — requires concrete provider/solver receipts,NOT_RUN,NOT_RUN
R_COW,constrained_settlement,1,order_limits_respected; balance_conservation; approvals_valid; orders_not_expired; settlement_executable; strategy_specific_note_verified; native_risk_and_impact_policy,Prepared domain cashflow/constraint interface,NO — requires concrete provider/solver receipts,NOT_RUN,NOT_RUN
R_DIRECT_INDIRECT,path_comparison,2,identical_input; identical_output_asset; same_snapshot; firm_baseline; settlement_executable; strategy_specific_note_verified; native_risk_and_impact_policy,Prepared domain cashflow/constraint interface,NO — requires concrete provider/solver receipts,NOT_RUN,NOT_RUN
R_ORDERBOOK,firm_pair,4,same_economic_asset; matched_quantity; firm_depth; inventory_available; settlement_executable; strategy_specific_note_verified; native_risk_and_impact_policy,Prepared domain cashflow/constraint interface,NO — requires concrete provider/solver receipts,NOT_RUN,NOT_RUN
R_SPLIT,split_allocation,2,input_allocation_conserved; nonnegative_allocations; shared_pool_state_consistent; firm_unsplit_baseline; settlement_executable; strategy_specific_note_verified; native_risk_and_impact_policy,Prepared domain cashflow/constraint interface,NO — requires concrete provider/solver receipts,NOT_RUN,NOT_RUN
X_BRIDGE,cross_domain,16,same_economic_asset; all_domain_snapshots; inventory_or_bridge_capacity; finality_model; failure_states_costed; settlement_executable; bridge_quote_valid; non_atomic_settlement; strategy_specific_note_verified; native_risk_and_impact_policy,Prepared domain cashflow/constraint interface,NO — requires concrete provider/solver receipts,NOT_RUN,NOT_RUN
X_ORACLE,cross_domain,2,same_economic_asset; all_domain_snapshots; inventory_or_bridge_capacity; finality_model; failure_states_costed; settlement_executable; cross_domain_oracle_timestamps; non_atomic_settlement; strategy_specific_note_verified; native_risk_and_impact_policy,Prepared domain cashflow/constraint interface,NO — requires concrete provider/solver receipts,NOT_RUN,NOT_RUN
X_PREPOS,cross_domain,12,same_economic_asset; all_domain_snapshots; inventory_or_bridge_capacity; finality_model; failure_states_costed; settlement_executable; prepositioned_inventory_all_domains; non_atomic_settlement; strategy_specific_note_verified; native_risk_and_impact_policy,Prepared domain cashflow/constraint interface,NO — requires concrete provider/solver receipts,NOT_RUN,NOT_RUN
